,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
956,4556118,206.62667,0,0,22050,1,0.0,201.21832,-9.851,80.705,0.15,4,0.603,0,0.214,0,0.413,3.15,4.12,1.0,1.0,0.709,0.665,206627,0.313,0.00623,0.173,0.0595,0.441,The Modern Jazz Quartet,Softly As In a Morning Sunrise,jazz
957,3787087,171.74998,0,0,22050,1,0.36585,163.03891,-18.634,90.73,0.435,4,1.0,2,0.342,0,0.387,3.15,4.12,1.0,1.0,0.784,0.607,171750,0.336,0.85,0.113,0.0591,0.45,Oscar Peterson Trio,Quiet Nights Of Quiet Stars (Corcovado),jazz
958,8388864,380.44735,0,0,22050,1,0.24957,372.35519,-13.538,116.292,0.527,4,0.413,5,0.369,0,0.367,3.15,4.12,1.0,1.0,0.614,0.523,380447,0.364,0.731,0.0816,0.0645,0.795,Sonny Clark,Sonny's Crip,jazz
959,8503362,385.64,0,0,22050,1,0.0,370.14349,-13.475,91.929,0.175,4,0.69,8,0.606,1,0.542,3.15,4.12,1.0,1.0,0.624,0.52,385640,0.332,0.325,0.0681,0.0366,0.489,Lee Konitz,Thingin,jazz
960,14103180,639.6,0,0,22050,1,0.28073,622.53279,-9.268,156.632,0.048,4,1.0,10,0.0,0,0.241,3.15,4.12,1.0,1.0,0.0609,0.526,639600,0.574,0.465,0.111,0.0432,0.51,Idris Muhammad,Loran's Dance,jazz
962,9265408,420.19991,0,0,22050,1,0.06966,382.34558,-14.695,123.923,0.37,4,1.0,1,0.694,0,0.744,3.15,4.12,1.0,1.0,0.163,0.61,420200,0.452,0.894,0.111,0.045,0.385,Fazer,White Sedan,jazz
963,8107638,367.69333,0,0,22050,1,0.35905,357.42476,-14.607,95.833,0.244,4,0.829,5,0.653,1,0.444,3.15,4.12,1.0,1.0,0.913,0.391,367693,0.105,0.194,0.113,0.035,0.162,Gene Ammons,Here's That Rainy Day,jazz
964,6255044,283.67546,0,0,22050,1,0.0,277.86739,-9.768,85.961,0.412,4,1.0,1,0.751,1,0.452,3.15,4.12,1.0,1.0,0.215,0.83,283675,0.386,0.885,0.0851,0.0777,0.924,Takuya Kuroda,Rising Son,jazz
965,5200896,235.8683,0,0,22050,1,0.24463,223.03347,-12.689,109.367,0.275,4,0.991,9,0.731,0,0.593,3.15,4.12,1.0,1.0,0.0776,0.341,235868,0.426,0.000211,0.0875,0.0334,0.256,Freddie Hubbard,Yesterday's Dreams,jazz
966,11480700,520.66667,0,0,22050,1,0.20082,507.19927,-16.517,154.121,0.275,4,0.954,0,0.469,0,0.525,3.15,4.12,1.0,1.0,0.936,0.506,520667,0.378,0.822,0.134,0.044,0.827,Wes Montgomery,Mellow Mood,jazz
