,num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,speechiness,valence,name,track,genre
24,3730860,169.2,0,0,22050,1,0.36463,162.70803,-8.943,108.502,0.712,4,0.959,11,0.049,0,0.258,3.15,4.12,1,1,0.294,0.727,169200,0.443,0.000316,0.169,0.086,0.709,Alton Ellis,Blackman's Word (Black Man's Pride),reggae
25,4206258,190.76,0,0,22050,1,0.19274,186.2995,-7.761,159.16,0.103,4,0.875,0,0.824,1,0.6,3.15,4.12,1,1,0.204,0.707,190760,0.355,9.82E-06,0.0642,0.155,0.637,Various Artists,54-46 Was My Number,reggae
26,5719770,259.4,0,0,22050,1,0,248.07039,-3.166,84.623,0.382,4,1,9,0.253,0,0.406,3.15,4.12,1,1,0.199,0.717,259400,0.719,2.62E-06,0.195,0.0995,0.766,Dennis Brown,Revolution,reggae
27,5385786,244.25333,0,0,22050,1,0.37673,235.80444,-5.761,145.169,0.877,4,1,4,0.359,0,0.45,3.15,4.12,1,1,0.0299,0.749,244253,0.849,0.000168,0.115,0.0544,0.959,Peter Tosh,Johnny B Goode - 2002 Remastered Version,reggae
28,4437930,201.26667,0,0,22050,1,0.42567,186.49687,-11.99,175.244,0.134,4,1,8,0.582,1,0.626,3.15,4.12,1,1,0.449,0.609,201267,0.436,0.00677,0.121,0.146,0.921,Toots & The Maytals,"Take Me Home, Country Roads",reggae
29,4908330,222.6,0,0,22050,1,4.05188,212.17814,-8.962,154.118,0.198,4,1,10,0.702,0,0.611,3.15,4.12,1,1,0.057,0.707,222600,0.716,4.25E-06,0.36,0.0879,0.966,Steel Pulse,Your House,reggae
30,4832478,219.16,0,0,22050,1,1.02739,210.80816,-7.586,141.185,0.191,4,1,9,0.099,0,0.246,3.15,4.12,1,1,0.0331,0.686,219160,0.652,8.34E-06,0.0578,0.111,0.503,John Holt,Police In Helicopter,reggae
31,3859338,175.02667,0,0,22050,1,0.35701,168.39111,-11.808,84.159,0.249,4,1,7,0.733,1,0.446,3.15,4.12,1,1,0.049,0.743,175027,0.443,1.25E-05,0.131,0.0878,0.467,Dennis Brown,Let Me Down Easy,reggae
32,3403050,154.33333,0,0,22050,1,0.30839,150.77878,-6.845,143.879,0.121,4,1,4,0.518,1,0.525,3.15,4.12,1,1,0.229,0.888,154333,0.521,0,0.0794,0.306,0.962,Jacob Miller,Tenement Yard,reggae
33,3706752,168.10667,0,0,22050,1,1.20299,163.16662,-5.733,74.009,0.178,4,1,2,0.63,1,0.421,3.15,4.12,1,1,0.00168,0.66,168107,0.679,0.000197,0.188,0.0913,0.922,Various Artists,Better Must Come,reggae
34,3857868,174.96,0,0,22050,1,0.23329,160.07837,-11.972,148.964,0.584,4,1,8,0.888,1,0.702,3.15,4.12,1,1,0.106,0.658,174960,0.571,0,0.0286,0.0432,0.985,Toots & The Maytals,Pressure Drop,reggae
35,2427440,110.08798,0,0,22050,1,0,105.84816,-5.849,78.793,0.31,4,1,8,0.311,1,0.483,3.15,4.12,1,1,0.97,0.859,110088,0.435,0.00148,0.129,0.0649,0.875,Prince Buster,All My Loving,reggae
36,3802596,172.45333,0,0,22050,1,0.07447,158.98122,-12.109,85.458,0.246,4,1,5,0.225,0,0.389,3.15,4.12,1,1,0.414,0.851,172453,0.384,0.00257,0.0905,0.0918,0.707,Dandy Livingstone,Don't Break Your Promise,reggae
37,3380706,153.32,0,0,22050,1,0.15116,146.32054,-8.355,75.424,0.232,4,0.92,5,0,0,0.047,3.15,4.12,1,1,0.0682,0.63,153320,0.544,0.0417,0.147,0.0663,0.707,Various Artists,It Mek,reggae
38,5386962,244.30667,0,0,22050,1,0.35456,234.71891,-13.328,127.158,0.938,4,1,11,0.382,0,0.414,3.15,4.12,1,1,0.0583,0.933,244307,0.363,0,0.161,0.0971,0.906,Junior Murvin,Police & Thieves,reggae
39,4014570,182.06667,0,0,22050,1,0.67923,169.47084,-9.484,89.126,0.298,4,0.981,1,0.894,1,0.564,3.15,4.12,1,1,0.00403,0.854,182067,0.441,1.33E-05,0.307,0.0498,0.786,Various Artists,Red Red Wine,reggae
40,6149120,278.87166,0,0,22050,1,0.20898,271.85923,-7.212,145.249,0.303,4,0.879,0,0.303,1,0.462,3.15,4.12,1,1,0.128,0.701,278872,0.784,0,0.0713,0.204,0.712,Peter Tosh,Legalize It,reggae
41,3695580,167.6,0,0,22050,1,0.19166,157.80281,-8.69,112.852,0.845,4,1,5,0.438,0,0.506,3.15,4.12,1,1,0.845,0.841,167600,0.548,0.26,0.0704,0.06,0.844,Various Artists,East of the River Nile - 1971 Version,reggae
42,5327616,241.61524,0,0,22050,1,3.0244,234.27193,-8.55,91.995,0.708,4,1,11,0.614,0,0.607,3.15,4.12,1,1,0.0426,0.832,241615,0.545,0.000119,0.0748,0.0577,0.888,Taggy Matcher,No Love Allowed (feat. LMK),reggae
43,4633146,210.12,0,0,22050,1,0.69034,203.95247,-11.053,142.016,0.741,4,1,6,0.75,1,0.692,3.15,4.12,1,1,0.263,0.795,210120,0.606,0.157,0.106,0.0571,0.933,The Heptones,Book of Rules,reggae
44,6408318,290.62667,0,0,22050,1,0.38934,284.51991,-6.67,147.759,0.017,4,1,7,0.449,1,0.625,3.15,4.12,1,1,0.0659,0.647,290627,0.699,0,0.0683,0.119,0.862,Max Romeo,War Ina Babylon,reggae
45,6898710,312.86667,0,0,22050,1,0.38871,294.15039,-11.578,131.258,0.938,4,1,4,0.385,0,0.252,3.15,4.12,1,1,0.00832,0.808,312867,0.588,0.0609,0.0856,0.0812,0.701,Black Uhuru,Sinsemilla,reggae
46,3840228,174.16,0,0,22050,1,1.15483,170.19066,-14.222,87.613,0.035,4,1,8,0.776,1,0.61,3.15,4.12,1,1,0.214,0.79,174160,0.228,0.496,0.311,0.206,0.62,Various Artists,Train To Skaville,reggae
47,4789260,217.2,0,0,22050,1,0.20522,209.08989,-6.547,170.82,0.019,4,1,4,0.64,0,0.479,3.15,4.12,1,1,0.161,0.582,217200,0.663,0,0.198,0.0828,0.695,Barrington Levy,Here I Come,reggae
48,3403638,154.36,0,0,22050,1,0.17034,144.82866,-11.239,107.473,0.903,4,1,7,0,1,0.202,3.15,4.12,1,1,0.0545,0.928,154360,0.339,0.28,0.125,0.128,0.939,Various Artists,"Rudy, a Message to You",reggae
49,4822188,218.69333,0,0,22050,1,0.2205,214.76136,-10.771,159.054,0.093,4,1,8,0.147,1,0.252,3.15,4.12,1,1,0.513,0.718,218693,0.341,0.943,0.126,0.106,0.487,King Tubby,Take Five,reggae
50,3980760,180.53333,0,0,22050,1,0.46839,172.87837,-10.54,73.962,0.373,4,1,9,0.714,1,0.575,3.15,4.12,1,1,0.0109,0.781,180533,0.478,1.01E-06,0.0399,0.0855,0.643,Bob Marley & The Wailers,Three Little Birds,reggae
51,4972128,225.49333,0,0,22050,1,0.42961,217.40844,-9.198,76.758,0.291,4,0.908,5,0.548,1,0.502,3.15,4.12,1,1,0.141,0.634,225493,0.472,0,0.143,0.0498,0.709,Various Artists,Everything I Own,reggae
52,3851106,174.65333,0,0,22050,1,0.25628,164.63528,-10.098,168.452,0.047,4,1,7,0.265,1,0.396,3.15,4.12,1,1,0.385,0.673,174653,0.451,3.15E-05,0.0685,0.272,0.479,Various Artists,You've Made Me So Very Happy,reggae
53,6196638,281.02667,0,0,22050,1,0.31315,256.51084,-9.33,96.806,0.66,4,1,8,0.715,1,0.785,3.15,4.12,1,1,0.313,0.799,281027,0.641,2.22E-05,0.0704,0.171,0.719,The Wailers,I Shot The Sheriff,reggae
54,3451854,156.54667,0,0,22050,1,0,148.86313,-11.169,131.182,0.811,4,1,5,0.802,1,0.603,3.15,4.12,1,1,0.223,0.763,156547,0.521,0,0.254,0.0431,0.972,Carlton & The Shoes,Sincerely Yours,reggae
55,3401286,154.25333,0,0,22050,1,1.02363,145.08408,-5.518,147.225,0.373,4,0.652,7,0.307,1,0.475,3.15,4.12,1,1,0.329,0.786,154253,0.598,2.6E-05,0.0612,0.191,0.882,Various Artists,Blackbird Singing,reggae
56,4390596,199.12,0,0,22050,1,0.23769,193.161,-10.414,152.191,0.08,4,1,3,0.903,1,0.577,3.15,4.12,1,1,0.524,0.677,199120,0.404,0.000273,0.2,0.0415,0.397,Various Artists,Ba Ba Boom,reggae
57,3456558,156.76,0,0,22050,1,0.1741,145.97224,-7.968,125.9,0.967,4,1,1,0.772,1,0.589,3.15,4.12,1,1,0.0167,0.793,156760,0.626,0.000704,0.0698,0.0387,0.64,The Maytals,Gold and Silver,reggae
58,6195168,280.96,0,0,22050,1,5.68308,280.95999,-6.418,92.878,0.589,4,0.896,5,0.172,0,0.272,3.15,4.12,1,1,0.405,0.739,280960,0.758,5.18E-05,0.0808,0.103,0.787,"Lee ""Scratch"" Perry",Having A Party,reggae
59,4502904,204.21333,0,0,22050,1,2.90249,195.41914,-13.384,120.319,0.866,4,1,9,0.922,1,0.715,3.15,4.12,1,1,0.388,0.873,204213,0.346,0.0044,0.308,0.114,0.938,Various Artists,It Must Be True Love,reggae
60,5072382,230.04,0,0,22050,1,0.42431,215.33605,-16.194,73.696,0.117,4,1,6,0.717,0,0.726,3.15,4.12,1,1,0.00736,0.879,230040,0.322,0.000854,0.066,0.106,0.343,Ini Kamoze,WORLD-A-REGGAE Music,reggae
61,3657948,165.89333,0,0,22050,1,0.23088,153.26912,-13.012,72.842,0.063,4,1,1,0.224,1,0.318,3.15,4.12,1,1,0.352,0.786,165893,0.485,0.00467,0.0424,0.321,0.96,Bunny Wailer,Dream Land,reggae
62,5283768,239.62667,0,0,22050,1,0,234.73052,-7.207,125.877,0.872,4,0.061,11,0.913,1,0.698,3.15,4.12,1,1,0.313,0.793,239627,0.609,0,0.0749,0.0458,0.902,Tarrus Riley,Hurt Me - Reggae Remix,reggae
63,5655678,256.49333,0,0,22050,1,5.62503,244.05333,-11.536,78.837,0.421,4,1,8,0.432,1,0.638,3.15,4.12,1,1,0.025,0.838,256493,0.453,2.42E-05,0.116,0.31,0.815,Bob Marley & The Wailers,Waiting In Vain,reggae
64,5298468,240.29333,0,0,22050,1,0.07469,225.71537,-6.708,97.251,0.666,4,1,11,0.816,1,0.604,3.15,4.12,1,1,0.0661,0.745,240293,0.68,0,0.07,0.124,0.813,Damian Marley,Living It Up,reggae
65,5917632,268.37333,0,0,22050,1,0.07565,257.21905,-8.262,94.027,0.46,4,1,0,0.44,1,0.516,3.15,4.12,1,1,0.0708,0.782,268373,0.696,2.46E-06,0.318,0.12,0.705,UB40,Moonlight Lover,reggae
66,5109720,231.73333,0,0,22050,1,0.31846,217.91927,-12.667,80.946,0.608,4,1,0,0.366,1,0.444,3.15,4.12,1,1,0.0367,0.742,231733,0.568,0.0715,0.0511,0.156,0.678,Bunny Wailer,Mellow Mood,reggae
67,3999744,181.39429,0,0,22050,1,0,169.48825,-11.088,78.496,0.48,4,1,9,0.363,0,0.533,3.15,4.12,1,1,0.367,0.818,181394,0.475,9.14E-06,0.0524,0.17,0.724,Horace Andy,Sky Larking,reggae
68,4581402,207.77333,0,0,22050,1,0.62667,197.28254,-8.282,134.727,0.905,4,0.769,9,0.69,0,0.619,3.15,4.12,1,1,0.00557,0.939,207773,0.65,0,0.0429,0.0615,0.968,Bob Marley & The Wailers,Pimper's Paradise,reggae
69,4431168,200.96,0,0,22050,1,0.19175,190.3746,-13.085,127.686,0.484,4,1,5,0.65,0,0.468,3.15,4.12,1,1,0.0585,0.825,200960,0.433,0,0.0618,0.337,0.687,Culture,The International Herb,reggae
70,5157936,233.92,0,0,22050,1,0.19161,222.7142,-5.56,77.031,0.206,4,1,0,0.606,1,0.59,3.15,4.12,1,1,0.0276,0.844,233920,0.566,2.65E-06,0.0706,0.146,0.82,Raging Fyah,Dash Wata,reggae
71,4905390,222.46667,0,0,22050,1,0.082,210.23927,-6.794,84.988,0.181,4,1,10,0.162,0,0.37,3.15,4.12,1,1,0.031,0.868,222467,0.568,0,0.214,0.247,0.812,Damian Marley,Medication,reggae
72,5907195,267.9,0,0,22050,1,0,248.33161,-4.54,141.37,0.614,4,1,1,0.111,1,0.328,3.15,4.12,1,1,0.0158,0.635,267900,0.79,0,0.0757,0.15,0.717,Rorystonelove,Suit & Tie,reggae
73,5110602,231.77333,0,0,22050,1,0.59093,223.03927,-7.365,121.242,0.648,4,1,0,0.586,1,0.647,3.15,4.12,1,1,0.113,0.901,231773,0.472,1E-05,0.152,0.231,0.828,Bob Marley & The Wailers,One Drop,reggae
74,5325075,241.5,0,0,22050,1,0.20902,234.55057,-3.134,134.307,0.311,4,1,0,0.525,0,0.553,3.15,4.12,1,1,0.0821,0.633,241500,0.878,0,0.244,0.261,0.722,Matisyahu,Coming from Afar,reggae
75,5896192,267.401,0,0,22050,1,0.17438,256.37732,-11.516,76.374,0.246,4,1,0,0.591,1,0.51,3.15,4.12,1,1,0.161,0.794,267401,0.399,7.09E-06,0.0475,0.174,0.839,Israel Vibration,Cool and Calm,reggae
76,4218654,191.32218,0,0,22050,1,0.09868,176.03628,-7.807,79.959,0.281,4,1,7,0.553,1,0.71,3.15,4.12,1,1,0.195,0.761,191322,0.668,0,0.0612,0.265,0.938,Sting,Morning Is Coming (with Shaggy),reggae
77,4542198,205.99537,0,0,22050,1,0,196.34794,-8.209,91.503,0.514,4,1,6,0.607,0,0.522,3.15,4.12,1,1,0.0177,0.796,205995,0.604,1.15E-06,0.106,0.0684,0.787,Ziggy Marley,Rebellion Rises,reggae
78,4652550,211,0,0,22050,1,0,202.7102,-10.981,123.644,0.818,4,1,11,0.681,0,0.628,3.15,4.12,1,1,0.107,0.935,211000,0.479,5.25E-05,0.118,0.306,0.773,Bob Marley & The Wailers,Jamming,reggae
79,5367558,243.42667,0,0,22050,1,0.08091,231.89188,-6.76,135.052,0.707,4,1,10,0.275,0,0.456,3.15,4.12,1,1,0.0484,0.733,243427,0.714,0,0.344,0.0457,0.738,Jesse Royal,Always Be Around,reggae
80,5005439,227.00404,0,0,22050,1,0.16254,218.23274,-4.842,135.981,0.705,4,1,5,0.214,1,0.222,3.15,4.12,1,1,0.042,0.792,227004,0.835,0,0.0653,0.0477,0.811,Alborosie,Living Dread,reggae
81,4520250,205,0,0,22050,1,0,201.50857,-11.695,142.976,0.144,4,1,0,0.364,0,0.454,3.15,4.12,1,1,0.0247,0.807,205000,0.557,0,0.143,0.142,0.627,Bajah,Bigger Heads,reggae
82,4968600,225.33333,0,0,22050,1,0.20884,220.20063,-5.816,122.161,0.318,4,1,9,0.412,0,0.368,3.15,4.12,1,1,0.0371,0.66,225333,0.603,0,0.174,0.438,0.687,Stephen Marley,Break Us Apart,reggae
83,5087670,230.73333,0,0,22050,1,0,222.55746,-8.377,122.229,0.936,4,0.799,6,0.317,0,0.471,3.15,4.12,1,1,0.108,0.775,230733,0.559,0,0.0945,0.088,0.804,Bob Marley & The Wailers,Is This Love,reggae
84,5501916,249.52,0,0,22050,1,0.19152,241.76036,-7.269,147.518,0.596,4,0.963,1,0.464,0,0.653,3.15,4.12,1,1,0.0528,0.651,249520,0.747,0,0.207,0.0699,0.776,Big Mountain,"Baby, I Love Your Way",reggae
85,6708955,304.261,0,0,22050,1,0.0688,289.06522,-6.053,135.374,0.472,4,1,1,0.607,1,0.501,3.15,4.12,1,1,0.0391,0.704,304261,0.515,3.37E-06,0.0606,0.112,0.517,Rorystonelove,Rasta Nuh Gangsta - Short Mix,reggae
86,6946338,315.02667,0,0,22050,1,0.38227,291.62522,-15.559,76.37,0.659,4,1,10,0.585,1,0.513,3.15,4.12,1,1,0.0887,0.87,315027,0.266,0.0217,0.0709,0.264,0.929,Gregory Isaacs,Cool Down The Pace,reggae
87,6482700,294,0,0,22050,1,0.07392,286.30785,-6.333,147.374,0.88,4,1,6,0.042,0,0.22,3.15,4.12,1,1,0.107,0.796,294000,0.669,0.000113,0.0891,0.0911,0.96,Alpha Blondy,Cocody Rock,reggae
88,3813180,172.93333,0,0,22050,1,0.23778,163.48009,-9.598,154.186,0.088,4,1,10,0.276,1,0.064,3.15,4.12,1,1,0.0673,0.67,172933,0.516,0,0.0674,0.366,0.939,Bob Marley & The Wailers,One Love / People Get Ready,reggae
89,3509772,159.17333,0,0,22050,1,0,151.01098,-13.19,144.184,0.174,4,1,4,0.429,1,0.493,3.15,4.12,1,1,0.445,0.887,159173,0.387,0,0.103,0.212,0.973,Jacob Miller,Tenement Yard,reggae
90,5802560,263.15465,0,0,22050,1,0.10317,249.7132,-4.601,140.284,0.273,4,0.893,9,0.595,0,0.505,3.15,4.12,1,1,0.253,0.51,263155,0.722,0,0.108,0.197,0.719,Rorystonelove,Not Because,reggae
91,8096760,367.2,0,0,22050,1,0.22721,361.26186,-7.06,145.976,0.714,4,1,6,0.609,1,0.538,3.15,4.12,1,1,0.0612,0.785,367200,0.599,0.0673,0.141,0.0423,0.952,UB40,You Haven't Called,reggae
92,4952287,224.59351,0,0,22050,1,0,216.89179,-5.456,83.963,0.318,4,1,10,0.38,0,0.486,3.15,4.12,1,1,0.00352,0.759,224594,0.766,0,0.13,0.226,0.73,Protoje,Bout Noon,reggae
93,7086282,321.37333,0,0,22050,1,0.37098,316.71438,-14.2,118.23,0.969,4,0.932,10,0.27,1,0.147,3.15,4.12,1,1,0.0259,0.928,321373,0.411,1.06E-05,0.0597,0.0916,0.693,Steel Pulse,Handsworth Revolution,reggae
94,5228790,237.13333,0,0,22050,1,0,225.57025,-8.527,103.33,0.654,4,1,0,0.532,1,0.496,3.15,4.12,1,1,0.372,0.913,237133,0.724,0.000201,0.0824,0.105,0.748,Bob Marley & The Wailers,Could You Be Loved,reggae
95,5857068,265.62667,0,0,22050,1,1.07769,255.03637,-11.316,89.519,0.44,4,1,2,0.352,1,0.776,3.15,4.12,1,1,0.0312,0.791,265627,0.43,0.000189,0.0476,0.068,0.716,Rita Marley,One Draw,reggae
96,5483688,248.69333,0,0,22050,1,0.37306,226.81832,-14.537,74.684,0.584,4,0.795,7,0.857,1,0.724,3.15,4.12,1,1,0.043,0.841,248693,0.309,0.0152,0.0368,0.216,0.931,Gregory Isaacs,Night Nurse,reggae
97,5640390,255.8,0,0,22050,1,0.99751,236.12952,-7.881,137.866,0.923,4,1,4,0.44,0,0.445,3.15,4.12,1,1,0.149,0.775,255800,0.652,0.18,0.0458,0.0583,0.671,Burning Spear,Hail H.I.M - 2002 Remastered Version,reggae
98,5777100,262,0,0,22050,1,0.19701,248.41868,-10.558,84.603,0.458,4,1,9,0.238,0,0.379,3.15,4.12,1,1,0.157,0.754,262000,0.458,5.86E-06,0.106,0.163,0.744,Dennis Brown,Revolution,reggae
99,5109720,231.73333,0,0,22050,1,0.41741,210.39601,-14.626,102.073,0.848,4,1,8,0.634,1,0.596,3.15,4.12,1,1,0.116,0.957,231733,0.217,0.0408,0.0795,0.0595,0.771,UB40,Kingston Town,reggae
100,4888338,221.69333,0,0,22050,1,0.41293,200.53914,-12.18,128.865,0.233,4,1,9,0.26,0,0.38,3.15,4.12,1,1,0.0205,0.735,221693,0.514,0,0.0316,0.141,0.817,Steel Pulse,Ku Klux Klan,reggae
101,6404496,290.45333,0,0,22050,1,0.06245,278.66268,-7.981,132.128,0.897,4,0.994,1,0.763,1,0.646,3.15,4.12,1,1,0.138,0.904,290453,0.661,0.0146,0.11,0.121,0.874,Pablo Moses,Dubbing Is a Must Part 1 - 2010 Remastered Version,reggae
102,5177340,234.8,0,0,22050,1,0.3424,221.95374,-6.409,73.241,0.248,4,1,7,0.352,0,0.415,3.15,4.12,1,1,0.0337,0.852,234800,0.564,0,0.0546,0.181,0.766,Duane Stephenson,Cool Runnings,reggae
103,7140966,323.85333,0,0,22050,1,0,314.81615,-10.073,123.837,0.772,4,1,2,0.403,1,0.295,3.15,4.12,1,1,0.21,0.838,323853,0.673,0.0446,0.254,0.0834,0.965,Wailing Souls,Row Fisherman,reggae
104,4037632,183.11256,0,0,22050,1,0.19147,168.98322,-8.53,89.119,0.419,4,0.996,1,0.872,1,0.569,3.15,4.12,1,1,0.00414,0.857,183113,0.468,1.32E-05,0.269,0.0476,0.843,UB40,Red Red Wine,reggae
105,5299350,240.33333,0,0,22050,1,0.92023,230.34195,-8.638,155.686,0.436,4,0.946,9,0.493,0,0.369,3.15,4.12,1,1,0.214,0.834,240333,0.552,0.000352,0.048,0.079,0.912,Bob Marley & The Wailers,So Much Trouble In The World,reggae
106,3614436,163.92,0,0,22050,1,0.1522,154.16889,-7.011,73.489,0.38,4,1,9,0.326,1,0.364,3.15,4.12,1,1,0.00356,0.672,163920,0.589,8.11E-05,0.309,0.104,0.928,Delroy Wilson,Better Must Come,reggae
107,4564350,207,0,0,22050,1,0.40608,196.60916,-9.9,91.79,0.647,4,1,7,0,0,0.243,3.15,4.12,1,1,0.117,0.696,207000,0.477,0.00044,0.0572,0.0668,0.58,Burning Spear,Marcus Garvey,reggae
108,4673718,211.96,0,0,22050,1,0.2244,199.77288,-11.573,83.117,0.617,4,1,0,0.714,1,0.77,3.15,4.12,1,1,0.0615,0.813,211960,0.395,6.72E-06,0.0923,0.0721,0.783,U-Roy,Natty Rebel - Remaster 1990,reggae
